sample,reading,value
2-2,31,894355
2-2,32,894079
2-2,33,893757
2-2,34,893550
2-2,35,893343
2-2,36,893090
2-2,37,892768
2-2,38,892607
2-2,39,892331
2-2,40,892147
2-2,41,891917
2-2,42,891618
2-2,43,891388
2-2,44,891181
2-2,45,890928
2-2,46,890698
2-2,47,890399
2-2,48,890192
2-2,49,889824
2-2,50,889640
2-2,51,889295
2-2,52,889019
2-2,53,888789
2-2,54,888513
2-2,55,888283
2-2,56,888030
2-2,57,887777
2-2,58,887478
2-2,59,887248
2-2,60,886949
2-2,61,886719
2-2,62,886374
2-2,63,886213
2-2,64,885868
2-2,65,885615
2-2,66,885385
2-2,67,885086
2-2,68,884856
2-2,69,884695
2-2,70,884396
2-2,71,884143
2-2,72,883867
2-2,73,883568
2-2,74,883315
2-2,75,883039
2-2,76,882740
2-2,77,882418
2-2,78,882188
2-2,79,881912
2-2,80,881567
2-2,81,881337
2-2,82,881015
2-2,83,880716
2-2,84,880463
2-2,85,880187
2-2,86,879888
2-2,87,879635
2-2,88,879336
2-2,89,879060
2-2,90,878830
2-2,91,878531
2-2,92,878255
2-2,93,877956
2-2,94,877634
2-2,95,877335
2-2,96,877036
2-2,97,876760
2-2,98,876415
2-2,99,876139
2-2,100,875886
2-1,1,1351917
2-1,2,1351641
2-1,3,1351756
2-1,4,1351963
2-1,5,1352308
2-1,6,1352630
2-1,7,1352929
2-1,8,1353067
2-1,9,1353297
2-1,10,1353550
2-1,11,1353527
2-1,12,1353596
2-1,13,1353550
2-1,14,1353596
2-1,15,1353642
2-1,16,1353596
2-1,17,1353550
2-1,18,1353550
2-1,19,1353527
2-1,20,1353596
2-1,21,1353665
2-1,22,1353619
2-1,23,1353596
2-1,24,1353596
2-1,25,1353642
2-1,26,1353573
2-1,27,1353688
2-1,28,1353757
2-1,29,1353757
2-1,30,1353734
2-1,31,1353780
2-1,32,1353803
2-1,33,1353757
2-1,34,1353849
2-1,35,1353872
2-1,36,1353987
2-1,37,1354033
2-1,38,1354079
2-1,39,1354102
2-1,40,1354148
2-1,41,1354240
2-1,42,1354263
2-1,43,1354217
2-1,44,1354286
2-1,45,1354401
2-1,46,1354378
2-1,47,1354378
2-1,48,1354355
2-1,49,1354539
